country_name,continent_name,cases,deaths,popData2019,tasa,etiqueta,Surface area (km2),Population in thousands (2017),"Population density (per km2, 2017)","Sex ratio (m per 100 f, 2017)",GDP: Gross domestic product (million current US$),"GDP growth rate (annual %, const. 2005 prices)",GDP per capita (current US$),Economy: Agriculture (% of GVA),Economy: Industry (% of GVA),Economy: Services and other activity (% of GVA),Employment: Agriculture (% of employed),Employment: Industry (% of employed),Employment: Services (% of employed),Unemployment (% of labour force),Labour force participation (female/male pop. %),Agricultural production index (2004-2006=100),Food production index (2004-2006=100),International trade: Exports (million US$),International trade: Imports (million US$),International trade: Balance (million US$),"Balance of payments, current account (million US$)",Population growth rate (average annual %),Urban population (% of total population)_x,Urban population growth rate (average annual %),"Fertility rate, total (live births per woman)","Population age distribution (0-14 / 60+ years, %)",International migrant stock (000/% of total pop.),Refugees and others of concern to UNHCR (in thousands),Infant mortality rate (per 1000 live births,Health: Total expenditure (% of GDP),Health: Physicians (per 1000 pop.),Education: Primary gross enrol. ratio (f/m per 100 pop.),Education: Secondary gross enrol. ratio (f/m per 100 pop.),Education: Tertiary gross enrol. ratio (f/m per 100 pop.),Seats held by women in national parliaments %,Mobile-cellular subscriptions (per 100 inhabitants),Mobile-cellular subscriptions (per 100 inhabitants).1,Individuals using the Internet (per 100 inhabitants),Threatened species (number),Forested area (% of land area),CO2 emission estimates (million tons/tons per capita),"Energy production, primary (Petajoules)",Energy supply per capita (Gigajoules),"Pop. using improved drinking water (urban/rural, %)",Quality Of Life Index,Purchasing Power Index,Safety Index,Health Care Index,Cost of Living,Property price to income ratio,Traffic commute time index,Pollution index,Climate index,Gross Rental Yield City Center,Gross Rental Yield Outside Center,Property Price to Rent Ratio City Center,Property Price to Rent Ratio Outside Center,Mortgate as percentage of income,Affordability Index,Cost Of Living Index,Rent Index,Cost Of Living Plus Rent Index,Grocery Index,Restaurant Price Index,Local Purchasing Power Index,Access to electricity (% of population),Adjusted net national income per capita (constant 2010 US$),Age dependency ratio (% of working-age population),"Air transport, passengers carried",Commercial service exports (current US$),Commercial service imports (current US$),Consumer price index (2010 = 100),Current account balance (% of GDP),Current health expenditure (% of GDP),Exports of goods and services (% of GDP),Gross domestic savings (% of GDP),High-technology exports (current US$),Human capital index (HCI) (scale 0-1),Imports of goods and services (% of GDP),"Inflation, consumer prices (annual %)","Life expectancy at birth, female (years)","Life expectancy at birth, male (years)","Life expectancy at birth, total (years)",Military expenditure (% of GDP),"Population, female","Population, male",Urban population (% of total population)_y
Romania,Europe,556335,13385,19414458.0,0.024059244879434154,Mal,238391,19679,85.5,94.0,177956,3.7,9120.7,4.8,34.9,60.3,25.5,27.7,46.8,7.1,47.3,100,100,63581,74605,-11024,-2096,-0.6,54.6,0.0,1.5,15.3,226.9,3.2,8.7,5.6,2.7,89.0,92.0,59.0,20.7,107.1,55.8,104,29.5,70.0,1109,68,100.0,92.2,143.04,53.44,72.05,53.11,35.63,10.79,31.97,50.9,64.45,4.89,4.76,20.43,20.99,83.3,1.2,35.63,9.59,23.15,29.05,30.16,53.44,100.0,8947.49984137703,49.99522537201321,4423249.0,24570199854.841,15287952957.9184,113.946361611816,-2.7899432228983505,5.15788830816746,41.4700877973861,21.3026478626714,5558653635.0,0.601,43.59406394040671,1.33902121104396,79.1,71.7,75.30975609756099,1.71954054901384,10053129.0,9534161.0,53.93600000000001
Serbia,Europe,266432,2331,6963764.0,0.008748949075186164,Bueno,88499,8791,100.5,95.6,37160,0.8,5238.6,8.2,31.4,60.5,19.4,24.5,56.1,15.5,43.4,102,102,14852,19231,-4379,-1751,-0.4,55.6,-0.3,1.6,16.5,807.4,254.1,9.8,10.4,2.5,101.2,97.4,66.9,34.4,120.5,65.3,71,31.1,37.7,393,62,99.4,98.2,133.43,40.8,61.38,53.86,33.79,17.87,29.93,55.29,82.66,3.14,3.33,31.88,30.07,142.63,0.7,33.79,7.25,21.07,24.96,27.2,40.8,100.0,5116.37695128391,50.876524160932505,2442731.0,5943301156.75442,4802207665.47188,138.66545344252398,-5.264526002465759,8.433958142995829,50.540787909056704,13.0006287901327,396951920.0,0.755,57.1320754796352,3.13106248590119,78.1,73.1,75.5390243902439,1.95935588331478,3580264.0,3440594.0,55.942
Singapore,Asia,58320,29,5804343.0,0.0004972565157750343,Bueno,719,5709,8155.5,97.7,292734,2.0,52239.0,0.0,26.4,73.6,0.3,17.0,82.6,2.0,57.8,112,112,329871,283009,46862,57922,1.7,100.0,2.0,1.2,15.0,2543.6,0.0,2.1,4.9,1.9,102.6470588235294,105.494,69.172,23.8,146.1,82.1,293,23.1,56.4,27,209,100.0,100.0,86.5,92.7,83.42,69.87,82.41,21.63,43.39,37.04,-71.47,2.75,3.65,36.41,27.39,134.33,0.74,82.41,70.22,76.57,71.68,58.33,92.7,100.0,45178.6935099864,29.5208636427416,38094990.0,169389575827.796,180034252403.28,113.265922901941,16.2638231598757,4.44038286805153,170.705375433905,54.51476246247721,147178835744.0,0.884,145.307195340781,0.5762603101663709,85.4,80.9,83.0951219512195,3.1548782818950403,2674905.0,2937348.0,100.0
Slovakia,Europe,132984,1175,5450421.0,0.008835649401431752,Bueno,49035,5448,113.3,94.6,87268,3.8,16082.5,3.7,34.8,61.5,3.3,34.5,62.2,9.9,51.4,97,97,77565,75156,2409,193,0.1,53.6,-0.3,1.4,15.4,177.2,2.7,5.7,8.1,3.4,99.2,92.8,64.6,20.0,122.3,85.0,54,40.3,30.7,264,121,100.0,99.4,152.55,64.75,69.82,62.63,44.9,9.85,36.03,43.51,65.06,5.62,5.57,17.78,17.94,61.59,1.62,44.9,16.49,31.29,38.84,33.17,64.75,100.0,14893.3474884849,43.716889591369,7925.0,10557099767.6392,9556991730.00174,109.590332058318,-1.9212403897282,6.74253478646278,95.1707012326252,25.145243818432103,8812917854.0,0.6940000000000001,92.9605858547623,1.3119458822323402,80.7,73.8,77.16585365853659,1.10193325763504,2793675.0,2645557.0,53.751000000000005
Slovenia,Europe,96314,1459,2080908.0,0.015148368876798804,Medio,20273,2080,103.3,98.6,42777,2.3,20689.8,2.4,32.7,64.9,8.9,29.6,61.5,8.1,51.8,89,89,27585,26646,939,2216,0.3,49.7,0.1,1.6,15.0,236.0,0.6,2.5,9.2,2.8,99.4,110.5,98.5,36.7,113.2,73.1,143,62.0,12.8,154,135,99.7,99.1,175.45,78.23,75.95,64.35,53.24,8.34,26.48,26.37,60.5,4.2,4.21,23.82,23.77,60.26,1.66,53.24,14.06,34.46,43.48,43.13,78.23,100.0,20396.0443337182,51.344338033450605,1087075.0,8256449246.51285,5649619234.16317,107.402110095793,6.152710431123331,8.187017589807509,82.9649226603655,29.0499006655722,1755384350.0,0.7879999999999999,73.9660327409365,1.4291074331929698,84.0,78.2,81.0292682926829,0.98204734702469,1038723.0,1027665.0,54.273
Spain,Europe,1730575,47624,46937060.0,0.027519177152102624,Mal,505944,46354,92.9,96.2,1192955,3.2,25865.4,2.6,23.6,73.7,3.9,19.2,76.8,18.3,52.1,102,102,281777,302539,-20762,16208,-0.2,79.6,0.7,1.3,14.7,5853.0,28.8,2.9,9.0,3.8,105.6,129.6,97.1,39.1,107.9,78.7,617,36.8,234.0,1432,102,100.0,99.8,183.65,87.87,68.72,76.65,54.98,8.26,32.63,37.46,88.04,4.38,5.23,22.81,19.13,52.02,1.92,54.98,18.83,37.65,44.68,53.68,87.87,100.0,27021.2619595246,51.1697189700603,71598374.0,144761654744.814,72302235551.4249,108.375335054149,2.71308807657284,8.873129636049269,35.1783922236242,23.0073209063258,17094347468.0,0.743,31.5991868337295,1.95608333333334,86.1,80.6,83.28292682926829,1.22599306021766,23723820.0,22869416.0,80.08
Sweden,Europe,320098,7514,10230185.0,0.02347406106879768,Mal,438574,9911,24.2,100.2,495694,4.1,50687.5,1.3,26.3,72.4,1.8,18.2,79.9,7.3,60.7,100,100,139574,140838,-1263,23250,0.8,85.8,0.8,1.9,17.5,1639.8,348.5,2.4,11.9,4.1,125.6,150.0,75.7,43.6,130.4,90.6,54,68.9,43.4,1428,206,100.0,99.2,172.74,107.23,53.35,70.64,75.88,11.77,31.6,17.87,59.13,2.52,3.22,39.66,31.08,71.27,1.4,75.88,26.86,52.39,67.94,78.27,107.23,100.0,48316.2767581085,59.965651998891104,48309155.93877551,74155873150.7377,69960800756.0849,106.491774734342,3.0840063477233,11.018746346235302,43.734721932138,28.259404025085804,17434042461.0,0.8,41.200027502143705,1.79449904665596,84.1,80.8,82.409756097561,1.03350172170209,5025514.0,5032184.0,87.146
Switzerland,Europe,372329,5378,8544527.0,0.014444214659615555,Medio,41291,8476,214.5,98.2,670790,0.8,80831.1,0.7,25.5,73.8,3.5,20.4,76.1,4.6,62.5,106,106,304691,269157,35534,77378,1.2,73.9,1.1,1.5,14.9,2438.7,110.1,3.9,11.7,4.1,103.8,99.4,58.5,32.5,142.0,88.0,74,31.6,35.3,552,126,100.0,99.9,173.54,95.35,77.55,71.04,122.06,14.04,28.3,20.77,69.32,3.01,3.15,33.24,31.78,81.89,1.22,122.06,56.57,90.68,122.72,119.85,95.35,100.0,60640.1486576029,49.9325804984945,26732570.0,120397427652.378,105500793072.193,98.26686201104928,6.4165192839183405,12.346322089433698,65.0326631233501,34.2561212495427,29844323632.0,0.767,54.4753676082932,0.533795988132759,85.6,81.6,83.55121951219509,0.681602395155031,4263869.0,4187971.0,73.76100000000001
Thailand,Asia,4237,60,69625581.0,0.014160962945480292,Medio,513120,69038,135.1,95.2,395168,2.8,5814.8,9.1,35.7,55.1,34.0,22.7,43.3,0.6,62.7,129,126,213927,195666,18260,32149,0.4,50.4,3.0,1.5,17.3,3913.3,554.1,11.2,4.1,2.9374999999999996,99.2,125.3,57.3,4.9,125.8,39.3,611,32.0,316.2,3338,83,97.6,89.9,57.21,34.28,50.22,80.66,43.71,24.43,43.56,73.23,-20.21,3.8,3.54,26.29,28.27,212.03,0.47,43.71,14.94,29.92,48.31,21.42,34.28,99.9,4783.33166672603,40.4312626405645,70704889.0,70666590666.765,46384831962.7385,111.286809151122,9.63234113702125,3.74601632356644,66.6819293721371,34.774385852602,43987099050.0,0.604,54.2259926048092,0.66563189313507,80.468,72.977,76.683,1.3685609353213,35458012.0,33751846.0,49.2
Turkey,Europe,995471,16199,82003882.0,0.016272699054015637,Medio,783562,80745,104.9,97.0,717888,4.0,9125.8,8.6,26.4,65.0,19.6,27.5,52.9,10.8,30.4,120,122,142606,198602,-55996,-32278,1.6,73.4,2.0,2.1,25.0,2964.9,3006.3,12.6,5.4,1.7,102.1,101.1,88.3,14.9,96.0,53.7,388,15.1,346.0,1303,65,100.0,98.3,129.63,55.64,58.91,71.68,38.6,8.87,47.58,70.46,73.19,5.43,6.28,18.41,15.92,121.45,0.82,38.6,10.56,25.16,33.46,26.45,55.64,100.0,12064.016560054,49.831742508980206,107917326.0,52747000000.0,26036000000.0,174.96870328849,-4.75959953015096,4.21630293130875,24.7737943311504,26.4827514708372,3500896134.0,0.626,29.284515909690104,11.1443110840764,80.08800000000001,74.149,77.161,2.06814147502603,41130856.0,39971036.0,74.64399999999999
Ukraine,Europe,900666,15247,43993643.0,0.016928583958981464,Medio,603500,44223,76.3,86.0,90615,-9.9,2021.6,14.0,26.3,59.7,15.7,24.6,59.7,8.8,52.3,137,137,36369,39184,-2815,-189,-0.5,69.7,-0.3,1.5,15.5,4834.9,1644.8,8.8,7.1,3.0,105.1,98.2,88.4,12.3,144.0,49.3,102,16.6,227.3,3203,98,95.5,97.4,87.49,26.93,48.73,49.81,26.22,22.87,39.16,67.26,49.94,5.3,6.01,18.88,16.63,512.06,0.2,26.22,9.36,18.14,19.87,19.69,26.93,100.0,2845.42446564177,46.5935679326923,6794396.0,13860000000.0,12231000000.0,235.299204427534,-2.17665769624938,6.99532032012939,48.0142981525409,12.2577233282013,1267145051.0,0.647,55.703543236629294,14.4383227488749,76.78,67.02,71.7809756097561,3.2414928995749106,24074287.0,20756848.0,69.24600000000001
Vietnam,Asia,1397,35,96462108.0,0.025053686471009307,Mal,330967,95541,308.1,98.0,193241,6.7,2067.9,18.9,37.0,44.2,41.8,22.9,35.2,2.2,73.9,136,134,176632,174111,2520,906,1.1,33.6,3.0,2.0,23.1,72.8,11.0,19.3,7.1,1.2,108.4,105.494,28.9,26.7,130.6,52.7,616,47.2,166.9,2977,30,99.1,94.4,36.12,24.77,47.04,47.87,40.11,26.76,33.0,88.1,-12.87,4.52,7.03,22.1,14.22,285.55,0.35,40.11,15.49,28.31,39.6,20.46,24.77,100.0,1613.26480486729,43.1200318300567,42592762.0,13070000000.0,17100000000.0,153.63165215668502,-0.736884881932091,5.53212836384773,101.593435844166,25.4579976927572,74113940404.0,0.6659999999999999,98.7911445822242,3.52025688811617,79.366,71.124,75.241,2.2679695552446697,47405623.0,47191019.0,35.213
