country_name,continent_name,cases,deaths,popData2019,tasa,etiqueta,Surface area (km2),Population in thousands (2017),"Population density (per km2, 2017)","Sex ratio (m per 100 f, 2017)",GDP: Gross domestic product (million current US$),"GDP growth rate (annual %, const. 2005 prices)",GDP per capita (current US$),Economy: Agriculture (% of GVA),Economy: Industry (% of GVA),Economy: Services and other activity (% of GVA),Employment: Agriculture (% of employed),Employment: Industry (% of employed),Employment: Services (% of employed),Unemployment (% of labour force),Labour force participation (female/male pop. %),Agricultural production index (2004-2006=100),Food production index (2004-2006=100),International trade: Exports (million US$),International trade: Imports (million US$),International trade: Balance (million US$),"Balance of payments, current account (million US$)",Population growth rate (average annual %),Urban population (% of total population)_x,Urban population growth rate (average annual %),"Fertility rate, total (live births per woman)","Population age distribution (0-14 / 60+ years, %)",International migrant stock (000/% of total pop.),Refugees and others of concern to UNHCR (in thousands),Infant mortality rate (per 1000 live births,Health: Total expenditure (% of GDP),Health: Physicians (per 1000 pop.),Education: Primary gross enrol. ratio (f/m per 100 pop.),Education: Secondary gross enrol. ratio (f/m per 100 pop.),Education: Tertiary gross enrol. ratio (f/m per 100 pop.),Seats held by women in national parliaments %,Mobile-cellular subscriptions (per 100 inhabitants),Mobile-cellular subscriptions (per 100 inhabitants).1,Individuals using the Internet (per 100 inhabitants),Threatened species (number),Forested area (% of land area),CO2 emission estimates (million tons/tons per capita),"Energy production, primary (Petajoules)",Energy supply per capita (Gigajoules),"Pop. using improved drinking water (urban/rural, %)",Quality Of Life Index,Purchasing Power Index,Safety Index,Health Care Index,Cost of Living,Property price to income ratio,Traffic commute time index,Pollution index,Climate index,Gross Rental Yield City Center,Gross Rental Yield Outside Center,Property Price to Rent Ratio City Center,Property Price to Rent Ratio Outside Center,Mortgate as percentage of income,Affordability Index,Cost Of Living Index,Rent Index,Cost Of Living Plus Rent Index,Grocery Index,Restaurant Price Index,Local Purchasing Power Index,Access to electricity (% of population),Adjusted net national income per capita (constant 2010 US$),Age dependency ratio (% of working-age population),"Air transport, passengers carried",Commercial service exports (current US$),Commercial service imports (current US$),Consumer price index (2010 = 100),Current account balance (% of GDP),Current health expenditure (% of GDP),Exports of goods and services (% of GDP),Gross domestic savings (% of GDP),High-technology exports (current US$),Human capital index (HCI) (scale 0-1),Imports of goods and services (% of GDP),"Inflation, consumer prices (annual %)","Life expectancy at birth, female (years)","Life expectancy at birth, male (years)","Life expectancy at birth, total (years)",Military expenditure (% of GDP),"Population, female","Population, male",Urban population (% of total population)_y
Argentina,America,1498160,40766,44780675.0,0.02721071180648262,Mal,2780400,44271,16.2,95.9,632343,2.4,14564.5,6.0,27.8,66.2,2.0,24.8,73.1,6.5,48.6,119,119,57733,55610,2124,-15944,1.0,91.8,1.0,2.3,24.9,2086.3,5.0,13.7,4.8,3.8,109.8,110.3,102.9,38.9,143.9,69.4,256,10.0,204.0,3167,85,99.0,96.2,139.59,58.4,37.37,73.3,52.57,12.07,37.95,53.33,90.67,3.77,3.9,26.53,25.64,333.23,0.3,52.57,13.92,34.05,44.06,50.37,58.4,100.0,9094.367252161,56.04635544369761,16749271.0,15274156208.2134,24982416353.4138,112.887108333333,-4.84884981091141,9.12431478500366,11.2427213207093,16.0193423909208,1494147748.0,0.611,13.9806106427674,3.099315059328837,79.726,72.92399999999999,76.372,0.856137916373543,22572521.0,21472290.0,91.749
Australia,Oceania,28031,908,25203200.0,0.032392708073204664,Mal,7692060,24451,3.2,99.3,1230859,2.4,51352.2,2.5,26.5,71.1,2.7,21.2,76.1,5.5,58.4,111,111,189630,189406,224,-57746,1.5,89.4,1.5,1.9,19.0,6763.7,58.2,3.9,9.4,3.4,102.1,133.6,106.3,28.7,132.8,84.6,948,16.2,361.3,15282,222,100.0,100.0,176.54,101.94,57.58,74.25,80.66,9.24,34.73,24.58,72.79,4.9,5.05,20.41,19.82,70.87,1.41,80.66,42.54,62.39,76.87,77.12,101.94,100.0,43073.9671702132,52.599670595728206,74257326.0,64296388330.0338,67392204900.9734,115.686784599376,-2.68999652428858,9.20594781637192,21.1932001494647,24.687192926849,4837243928.0,0.8029999999999999,20.576799969608103,1.94864740944522,84.6,80.5,82.5,2.00796639339341,12349632.0,12252228.0,85.904
Austria,Europe,320036,4400,8858775.0,0.013748453299003862,Medio,83871,8736,106.0,96.2,376967,1.0,44117.7,1.3,28.3,70.4,4.7,25.6,69.7,6.2,54.6,108,108,145503,149299,-3795,7020,0.6,66.0,0.4,1.4,14.1,1492.4,166.4,3.3,11.2,5.2,102.2,97.6,89.2,30.6,157.4,83.9,118,46.9,58.7,505,158,100.0,100.0,190.37,95.66,80.75,80.91,71.52,9.66,26.27,21.9,62.13,3.63,3.78,27.55,26.46,59.08,1.69,71.52,25.86,49.64,65.86,66.94,95.66,100.0,39557.6679946118,49.6725857002038,16171640.0,66403956922.3678,55455087774.4416,113.999736749152,1.5345140680346,10.3966169059277,54.037671021734894,28.291362874601603,17027611644.0,0.7929999999999999,50.7355052962123,2.08126858275521,84.0,79.4,81.64390243902442,0.7561790419805479,4478340.0,4319226.0,58.094
Belarus,Europe,160295,1263,9452409.0,0.007879222683177891,Bueno,207600,9468,46.7,87.0,54609,-3.9,5750.8,7.5,38.9,53.6,9.6,32.0,58.4,0.5,54.0,122,122,23414,27464,-4050,-2037,0.0,76.7,0.0,1.6,16.7,1082.9,7.9,3.6,5.7,4.1,101.3,106.4,100.7,34.5,123.6,62.2,25,42.5,63.5,155,122,99.9,94.1,119.23,36.43,77.74,53.76,33.84,18.73,27.66,39.64,20.07,5.31,4.82,18.85,20.75,587.51,0.17,33.84,12.21,23.47,27.19,37.6,36.43,100.0,5923.22311762587,45.5244210861446,2493100.0,7883700000.0,4820200000.0,122.7307793579578,-1.74028732403957,5.92578575015068,66.7896002012327,29.891194365483305,687613900.0,0.693705882352941,66.5781545217791,6.0318372517778895,79.2,69.3,74.12926829268291,1.16241694312684,5077542.0,4420722.0,78.134
Belgium,Europe,608001,17951,11455519.0,0.029524622492397217,Mal,30528,11429,377.5,97.3,455107,1.5,40277.8,0.7,22.2,77.1,1.2,21.2,77.6,8.3,48.1,108,107,398033,372713,25321,1936,0.6,97.9,0.5,1.8,17.1,1387.9,63.8,3.5,10.6,3.0,104.2,177.7,85.4,38.0,115.7,85.1,37,22.6,93.4,520,196,100.0,99.5,160.52,91.02,55.49,78.92,75.36,6.96,36.26,48.92,75.16,5.82,5.92,17.18,16.88,44.69,2.24,75.36,29.64,53.44,65.77,82.34,91.02,100.0,38493.2724438044,55.329079400808105,13676844.0,115167388267.646,114004179542.095,113.128902605325,1.2267750362186298,10.338669270277,82.38680624975609,25.5049930867712,34397964674.0,0.757,80.9918274558556,2.12597086002609,83.9,79.2,81.4926829268293,0.910370732936129,5766141.0,5609017.0,97.961
Brazil,America,6901952,181402,211049519.0,0.02628270958708493,Mal,8515767,209288,25.0,96.6,1772591,-3.8,8528.3,5.2,22.7,72.0,15.2,21.5,63.2,12.4,56.0,135,136,185235,137552,47683,-58882,0.9,85.7,1.2,1.8,21.7,713.6,41.1,15.8,8.3,1.9,113.8,102.2,59.3,10.7,126.6,59.1,990,59.2,529.8,10948,61,100.0,88.0,96.15,42.38,29.38,51.7,53.07,16.96,46.39,61.17,70.76,4.01,4.02,24.92,24.85,224.6,0.45,53.07,15.52,35.07,41.65,42.33,42.38,100.0,9359.89169634609,43.450060748941794,96395709.0,33676596772.93,70369731833.56,155.668786230018,-0.727859993379999,9.46747660636902,12.5230753666957,15.348823291108902,10756516887.0,0.56,11.804638359465802,3.4463733503267204,79.156,71.804,75.456,1.41952663807017,105601740.0,102232091.0,86.309
Bulgaria,Europe,179449,5688,7000039.0,0.03169702812498259,Mal,111002,7085,65.3,94.6,48953,3.0,6846.8,5.1,27.6,67.2,6.5,29.4,64.1,8.1,48.5,117,119,26088,28875,-2787,196,-0.6,73.9,-0.3,1.5,14.2,102.1,33.7,8.3,8.4,4.0,96.7,97.4,82.9,19.2,129.3,56.7,104,35.1,42.4,474,103,99.6,86.8,138.2,51.4,59.82,54.03,36.49,9.07,27.92,63.12,77.05,5.36,5.68,18.65,17.59,77.24,1.29,36.49,8.91,23.27,30.49,29.56,51.4,100.0,7224.353984864671,54.3265513629189,1133069.0,9383450000.0,5879280000.0,107.938957188495,3.59956827691833,8.095603436231611,67.3035598741689,24.2251906503994,1684916675.0,0.6759999999999999,62.9680088765738,2.06435506312528,78.4,71.4,74.81463414634149,1.42170625732142,3636886.0,3439061.0,74.669
Canada,America,460743,13431,37411038.0,0.02915074130263509,Mal,9984670,36624,4.0,98.5,1552808,0.9,43205.6,1.8,28.6,69.6,2.1,19.5,78.4,7.1,60.7,109,109,388911,402954,-14043,-53083,1.0,81.8,1.2,1.6,16.0,7835.5,155.8,4.7,10.4,2.5,101.1,110.0,69.172,26.3,81.9,88.5,122,38.2,537.2,19276,324,100.0,100.0,167.18,108.01,60.75,69.23,70.16,6.4,36.24,26.54,44.31,5.47,6.16,18.29,16.23,42.14,2.37,70.16,29.84,50.83,69.26,65.65,108.01,100.0,41350.0699269085,48.6160745277263,91404001.0,93063926790.1683,111157192260.8,111.984831139096,-2.81404646394062,10.5727694928646,31.4105273580442,21.322801709582897,27599664924.0,0.799,33.6232145334166,1.5968841285297,84.1,79.9,81.94878048780491,1.2933951067783702,18418770.0,18124551.0,81.35
Chile,America,571919,15886,18952035.0,0.027776660680970556,Mal,756102,18055,24.3,98.2,240796,2.3,13416.2,3.9,32.8,63.3,9.6,22.9,67.5,6.8,50.7,111,111,59884,58804,1080,-4761,0.9,89.5,1.1,1.8,20.3,469.4,3.7,7.4,7.8,2.9374999999999996,100.0,101.3,94.4,15.8,129.5,64.3,197,23.4,82.6,540,85,99.7,100.0,136.2,61.28,52.5,60.97,50.09,10.67,35.7,67.67,89.39,4.42,5.06,22.64,19.77,83.59,1.2,50.09,15.43,33.48,43.19,44.38,61.28,100.0,10980.762997382,45.3828389358575,17664974.0,9763417564.2942,13194488376.6783,125.566544829069,-2.15290830965023,8.983509987592699,28.439500474910304,22.4799188188258,623854353.0,0.674,27.2161650772848,2.18271846868523,82.333,77.333,79.90899999999999,1.93561273288572,9373185.0,9097254.0,87.49
China,Asia,92021,4739,1433783692.0,0.051499114332597996,Mal,9600000,1409517,150.1,106.3,11158457,6.9,8109.1,9.2,41.1,49.7,27.0,23.9,49.1,4.6,63.0,132,133,2118981,1588696,530285,330602,0.5,55.6,3.0,1.6,17.7,978.0,301.7,11.6,5.5,1.5,104.3,95.6,47.3,23.7,93.2,50.3,1080,22.0,10291.9,101394,87,97.5,86.6,90.95,67.84,66.1,62.25,44.76,23.29,43.87,88.96,38.7,2.23,2.74,44.83,36.49,189.71,0.53,44.76,18.67,32.26,47.74,29.68,67.84,100.0,5480.724340937801,39.4359455718714,551234509.0,211364158904.64,468540008742.4121,119.088051569694,1.58497312329912,5.151193216443059,19.6922781375567,45.1323883645045,654187610235.0,0.6729999999999999,17.9401372992739,1.59313725490194,78.828,74.315,76.47,1.8965104068694,674707818.0,711687182.0,57.96
Colombia,America,1425774,39053,50339443.0,0.0273907365402932,Mal,1141748,49066,44.2,96.8,292080,3.1,6056.1,6.8,34.0,59.2,13.5,16.6,69.9,10.5,58.0,114,115,31045,44831,-13786,-18922,1.0,76.4,1.7,1.9,23.5,133.1,7127.0,17.9,7.2,2.9374999999999996,111.6,101.5,59.9,18.7,115.7,55.9,835,52.8,84.1,5380,31,96.8,85.2,115.38,37.63,48.31,65.79,34.45,19.43,43.77,63.9,81.34,4.25,4.3,23.52,23.28,283.62,0.35,34.45,10.69,23.06,28.76,24.97,37.63,98.5,5988.75423502148,46.5330306568285,32504898.0,8305703414.635509,12298296661.9256,131.87726913518,-3.2835570523265805,7.22628086805344,15.1452897484005,16.6070413951119,694848478.0,0.593,20.1376251940583,4.3121410323773,79.694,74.124,76.925,3.1862726276321296,24915291.0,23985775.0,80.446
Croatia,Europe,175886,2640,4076246.0,0.015009722206429165,Medio,56594,4189,74.9,93.1,48676,1.6,11479.4,4.1,26.6,69.3,9.2,26.8,64.0,11.7,46.3,91,91,13648,21830,-8182,2492,-0.4,59.0,0.1,1.5,14.7,576.9,15.5,3.9,7.8,3.1,98.1,100.6,79.8,19.9,103.8,69.8,176,34.3,16.8,182,79,99.6,97.8,170.63,60.71,72.2,65.49,48.0,10.91,28.45,33.34,82.02,3.31,3.69,30.24,27.07,89.21,1.12,48.0,10.09,29.83,39.91,37.53,60.71,100.0,13047.4642755732,52.579572358686,2057804.0,14773948041.0347,4624578000.31845,107.363994273443,3.80106777376375,6.78913369774818,50.0289280782477,22.389513844541604,923411397.0,0.723,49.409157647110206,1.12937210282344,80.9,74.9,77.8268292682927,1.42558734937722,2139934.0,1984597.0,56.667
Cyprus,Europe,15101,78,875899.0,0.0051652208463015695,Bueno,9251,1180,127.7,100.2,19561,1.7,21941.9,2.3,10.6,87.2,4.1,16.7,79.2,10.3,57.8,80,80,1920,6604,-4684,-576,0.9,66.9,0.9,1.4,16.8,196.2,16.2,4.2,7.4,2.5,99.3,99.4,69.4,17.9,95.4,71.7,72,18.7,6.1,5,72,100.0,100.0,166.64,95.92,67.54,54.23,54.07,5.21,20.32,54.77,71.01,4.9,5.14,20.42,19.45,39.85,2.51,54.07,12.28,34.04,44.06,58.05,95.92,100.0,26093.20402367,43.37320111861529,711554.0,13326017977.192,7831409650.46734,100.807886777964,-5.00386384410902,6.68456926941872,73.0152992340802,19.5436497639485,57707767.0,0.7509999999999999,73.3895414381535,0.5317664961745,82.794,78.547,80.672,1.62751716003059,589132.0,590548.0,66.836
Czechia,Europe,581079,9609,10649800.0,0.016536477828315944,Medio,78868,10618,137.5,96.7,185156,4.5,17561.7,2.5,37.8,59.7,2.5,37.0,60.5,3.9,51.3,102,102,161248,140316,20932,1683,0.1,73.0,0.3,1.5,15.4,405.1,6.0,2.5,7.4,3.7,99.9,106.1,76.3,20.0,129.2,81.3,53,34.5,96.5,1221,164,100.0,99.1,165.41,76.22,69.82,74.09,41.22,10.7,31.98,41.04,65.32,4.17,4.61,24.01,21.71,65.37,1.53,41.22,14.83,28.57,35.84,27.99,76.22,100.0,16801.7164687198,52.39739062264,5450671.0,27307594297.3567,21801376859.9076,110.867228095323,1.45799390726686,7.23133906722069,79.72607749897121,33.3962320598455,29543508515.0,0.782,72.202798068737,2.45053398460138,82.0,76.1,78.9780487804878,0.969085790261929,5385332.0,5209106.0,73.675
Denmark,Europe,109758,941,5806081.0,0.008573406949835091,Bueno,42921,5734,135.1,99.0,301308,1.6,53149.3,1.2,22.9,75.8,2.4,19.2,78.4,6.0,58.1,105,105,94355,85133,9222,27582,0.5,87.7,0.6,1.7,16.5,572.5,48.2,3.5,10.8,3.6,100.7,133.4,96.3,37.4,128.3,96.3,47,14.4,33.5,666,119,100.0,99.6,184.92,98.76,78.87,75.45,83.02,8.2,28.42,25.97,64.24,4.71,4.82,21.21,20.76,52.39,1.91,83.02,35.02,60.01,63.84,101.01,98.76,100.0,53704.9593894897,56.6199956477692,48309155.93877551,69657202239.7128,62995124117.5794,108.633157753772,7.79658986323749,10.1082794368267,55.1388663944531,28.8453392474058,8937322533.0,0.774,48.1422353799985,1.14713216957606,83.1,79.2,81.10243902439029,1.1460161693832198,2897965.0,2867015.0,87.757
Egypt,Africa,121575,6920,100388076.0,0.05691959695661115,Mal,1002000,97553,98.0,102.3,315917,4.2,3452.3,11.2,36.3,52.5,25.4,25.3,49.3,11.5,23.1,120,122,22507,58053,-35545,-16786,2.2,43.1,1.7,3.4,33.5,491.6,256.5,18.9,5.6,0.8,103.8,85.9,35.6,14.9,111.0,35.9,156,0.1,201.9,3509,36,100.0,96.8,91.81,29.39,47.14,43.73,22.36,10.66,48.84,88.88,75.59,7.18,7.74,13.93,12.93,138.09,0.72,22.36,5.03,14.05,19.01,18.56,29.39,100.0,2524.4759906719896,63.8363130332394,11748510.0,18612600000.0,16081600000.0,231.094115427901,-3.37329709394813,5.28763681650162,15.8184438040346,1.78386167146974,73845751.0,0.486,29.3083573487032,29.506608394003894,73.967,69.453,71.656,1.42260927104117,47706816.0,48735777.0,42.705
Estonia,Europe,18055,149,1324820.0,0.008252561617280533,Bueno,45227,1310,30.9,88.2,22460,1.4,17112.0,3.4,27.4,69.2,3.8,29.0,67.3,7.2,55.4,136,136,13952,15759,-1807,493,-0.3,67.5,-0.4,1.6,16.4,202.3,84.2,3.2,6.4,3.3,98.5,114.7,84.8,26.7,148.7,88.4,23,52.7,19.5,242,193,100.0,97.5,171.09,68.48,77.0,71.3,49.5,10.54,26.71,17.71,44.56,4.11,3.95,24.33,25.3,68.75,1.45,49.5,13.98,32.47,36.74,46.76,68.48,100.0,16294.785167381202,55.1231614681643,13103.0,6839243919.352321,4752130176.94124,115.455324823776,2.69313927893907,6.42935782670975,76.1376865328606,29.835523430561,1844023020.0,0.747,71.8574286059871,3.4172354948805697,82.6,73.8,78.0926829268293,2.02836226346766,698154.0,619230.0,68.717
Finland,Europe,30810,453,5517919.0,0.014703018500486855,Medio,338440,5523,18.2,97.2,231960,0.2,42148.1,2.5,26.8,70.6,4.2,22.0,73.8,8.9,54.5,101,101,57326,60502,-3176,-979,0.4,84.2,0.5,1.8,16.4,315.9,32.6,2.3,9.7,3.0,101.4,156.3,95.6,42.0,135.5,92.7,36,73.1,47.3,757,257,100.0,99.4,182.93,114.97,75.37,74.85,73.06,7.6,34.92,13.38,35.83,3.74,4.6,26.72,21.76,44.51,2.25,73.06,26.95,50.96,61.47,76.43,114.97,100.0,39458.5092005397,60.0766175741488,12209646.0,29913728719.0783,31453244990.2233,110.000779878603,-0.6849719681636821,9.20693874359131,37.675589434718496,23.9580540209884,4405114576.0,0.8140000000000001,37.5609043825519,0.754015047084413,84.5,78.9,81.63170731707321,1.36568934476396,2794857.0,2713357.0,85.325
France,Europe,2376852,57911,67012883.0,0.024364579704584048,Mal,551500,64980,118.7,96.7,2418946,1.3,36304.2,1.7,19.5,78.8,2.7,20.5,76.8,9.8,50.3,103,103,488885,560555,-71670,-4861,0.4,79.5,0.8,2.0,18.1,7784.4,356.2,3.4,11.5,3.2,105.0,111.2,71.0,25.8,102.6,84.7,278,30.8,303.3,5694,158,100.0,98.6,160.25,87.29,56.34,78.62,74.89,11.58,35.81,40.15,73.91,3.0,3.67,33.29,27.22,73.86,1.35,74.89,24.83,50.9,69.54,72.89,87.29,100.0,36547.8795790623,60.71698781959911,68316473.0,271067199595.21,249030090796.294,106.864453008147,-0.6346628787315111,11.312892287969598,30.9486331871,22.3716090860258,109359053829.0,0.765,32.0132141063066,1.03228275064674,85.7,79.6,82.57560975609759,2.34967851446849,34480922.0,32383457.0,80.18
Germany,Europe,1337078,21975,83019213.0,0.016435092043994442,Medio,357376,82114,235.6,97.0,3363600,1.7,41686.2,0.6,30.5,68.9,1.4,27.5,71.2,4.2,54.5,111,111,1340752,1060672,280080,279969,0.2,75.3,0.2,1.4,13.1,12005.7,1052.1,3.4,11.3,4.1,104.7,99.6,66.8,37.0,116.7,87.6,116,32.7,719.9,5004,158,100.0,99.3,189.74,124.88,67.97,76.74,65.5,7.46,30.55,27.05,57.97,3.75,4.09,26.68,24.47,45.91,2.18,65.5,25.35,46.26,50.09,62.62,124.88,100.0,40038.3451814871,53.426417753932895,114160685.0,315403008911.47,345731488765.965,109.35246347718,7.83505437684049,11.246834695339198,47.3974341985646,27.8485912129159,195752362801.0,0.795,40.29596393209221,1.50949655801608,83.4,78.7,80.9926829268293,1.23414110223535,41919970.0,40737032.0,77.26100000000001
Greece,Europe,124534,3625,10724599.0,0.02910851654969727,Mal,131957,11160,86.6,96.9,194860,-0.2,17788.0,4.1,15.7,80.2,12.9,15.0,72.1,23.0,44.1,86,87,27811,47595,-19784,218,-0.4,78.0,0.5,1.3,14.2,1242.5,94.7,3.3,8.1,6.3,97.1,103.4,113.7,18.3,114.0,66.8,374,31.2,67.3,368,89,100.0,99.2,148.32,58.24,59.68,53.92,55.87,8.33,31.6,52.05,87.25,4.14,4.2,24.15,23.8,62.48,1.6,55.87,10.2,33.98,44.95,54.62,58.24,100.0,19581.010806431,55.289531570416095,13852857.0,38237102482.622,17510745541.4493,101.059873345855,-1.7712180122928998,8.04139003157616,32.9903963772026,11.4897638856844,1384000150.0,0.6809999999999999,34.0101586285405,1.1212354772078998,83.9,78.8,81.2878048780488,2.51912140468631,5475485.0,5279194.0,78.72399999999999
Hungary,Europe,283870,7130,9772756.0,0.025117131081128685,Mal,93024,9722,107.4,90.7,121715,3.1,12350.6,4.1,31.9,64.0,4.3,29.8,65.9,4.5,46.6,99,99,103071,92044,11027,3946,-0.3,71.2,0.5,1.3,14.3,449.6,14.4,4.9,7.4,3.3,101.3,105.3,56.7,10.1,118.9,72.8,66,22.8,42.1,423,97,100.0,97.8,138.82,47.52,61.61,53.46,42.77,11.2,33.09,43.99,66.49,5.43,5.97,18.43,16.76,97.32,1.03,42.77,12.67,28.35,33.62,32.72,47.52,100.0,12430.2847661518,49.1427083392061,26066294.0,26887572029.5942,18639180669.2928,114.450017176228,2.3123718973044505,6.879989802837371,87.143096211555,30.1374440485352,16903987958.0,0.703,79.8541973019801,2.34824281150159,79.3,72.5,75.8170731707317,1.05016762431816,5133501.0,4654465.0,71.062
India,Asia,9884100,143355,1366417756.0,0.014503596685585941,Medio,3287263,1339180,450.4,107.6,2116239,7.6,1614.2,17.0,29.7,53.2,44.3,24.5,31.2,3.4,27.0,143,142,260327,356705,-96378,-22457,1.2,32.7,2.4,2.4,27.8,5241.0,211.1,41.3,4.7,0.7,115.1,74.5,26.7,11.8,78.8,26.0,1052,23.7,2238.4,23103,27,97.1,62.6,101.52,76.73,56.04,69.18,25.08,10.28,46.38,76.53,9.3,3.08,3.81,32.44,26.24,123.44,0.81,25.08,6.77,16.31,25.2,16.38,76.73,92.6,1724.84357225624,50.2896372563245,139752424.0,184672831370.242,108735877735.935,159.829464708669,-1.43879339568494,3.5349596291780494,18.7826851657717,30.2335763460221,15161028362.0,0.44,21.940126113982,2.49088699878493,70.425,68.0,69.165,2.50962455841482,642787641.0,695871194.0,33.6
Indonesia,Asia,617820,18819,270625567.0,0.030460328250946876,Mal,1910931,263991,145.7,101.4,861934,4.8,3346.5,14.0,41.3,44.7,31.4,22.4,46.2,5.8,51.0,139,140,144490,135653,8837,-17697,1.2,53.7,2.7,2.4,27.4,328.8,13.8,25.0,2.8,0.2,104.4,86.0,25.7,19.8,132.4,22.0,1281,50.6,464.2,19481,35,94.2,72.3,62.02,27.61,50.32,64.8,41.11,21.03,49.44,76.41,9.62,4.67,4.94,21.41,20.26,247.68,0.4,41.11,11.66,26.99,45.8,20.29,27.61,98.14,3136.52441830271,48.3610188883414,108393123.0,24665052782.0696,32591673212.1994,142.182412273917,-1.5946569023963202,2.98905447125435,20.177304435110603,33.6038558737747,5974888118.0,0.535,19.17819263535,3.8087980695316297,73.515,69.156,71.282,0.804336712672088,131375660.0,133270226.0,54.659
Ireland,Europe,76185,2124,4904240.0,0.027879503839338453,Mal,69797,4762,69.1,98.4,283716,26.3,60513.6,1.0,41.7,57.3,4.8,17.7,77.4,7.6,51.9,102,102,129315,76997,52318,28967,0.3,63.2,1.6,2.0,21.6,746.3,10.5,3.4,7.8,2.8,102.0,129.4,87.6,22.2,103.7,80.1,50,10.9,34.1,84,114,97.9,89.1,166.9,103.52,54.23,53.33,76.98,7.02,35.01,27.18,70.18,6.02,6.91,16.61,14.48,50.79,1.97,76.98,40.64,59.56,62.21,81.38,103.52,100.0,41859.253033146,54.10677358065371,153944513.0,182945785463.576,231218911719.574,105.079585978951,1.0121980419305,7.18438327312469,121.042588526693,55.8513701412265,34827021587.0,0.8059999999999999,98.95576008631409,0.340531561461793,84.0,80.4,82.1560975609756,0.310631928985478,2426140.0,2381248.0,62.947
Israel,Asia,357859,2999,8519373.0,0.008380395630681358,Bueno,22072,8322,384.5,98.7,299413,2.5,37129.4,1.3,21.2,77.5,1.0,17.9,81.0,5.9,58.5,112,112,60571,65803,-5232,13642,1.6,92.1,1.4,3.0,27.9,2011.7,44.7,3.4,7.8,3.6,105.1,103.0,75.5,27.5,133.5,78.9,174,7.5,64.6,313,119,100.0,100.0,157.88,94.47,70.99,74.78,77.74,10.87,36.52,61.71,81.01,3.45,3.54,28.98,28.27,71.94,1.39,77.74,28.44,54.11,65.39,81.35,94.47,100.0,30793.6485488014,65.75526287655089,6993888.0,44080200000.0,28429900000.0,106.380697050938,2.318986834582529,7.40746408700943,28.684321571823897,22.6665195027388,12057719000.0,0.763,27.5215154198101,0.244210526315802,84.6,80.6,82.55121951219509,4.4325638900397095,4385803.0,4327497.0,92.336
Italy,Europe,1843712,64520,60359546.0,0.034994619550124964,Mal,302073,59360,201.8,95.1,1821580,0.7,30462.4,2.2,23.5,74.2,3.5,27.1,69.4,11.4,39.2,89,89,461529,404578,56951,29348,-0.1,69.0,0.4,1.4,13.5,5788.9,216.7,3.0,9.2,3.9,100.6,101.7,72.2,31.0,151.3,65.6,359,31.4,320.4,1539,103,100.0,99.5,142.52,71.83,55.34,66.31,83.7,12.39,36.38,51.57,82.6,2.69,3.56,37.18,28.06,82.64,1.21,83.7,21.49,53.89,73.94,76.24,71.83,100.0,29414.3462866516,56.1884000768445,26288001.0,112119916109.798,114804493330.453,108.714901774357,2.61987024106102,8.84025916457176,30.733733319636,20.9173561009812,32232276659.0,0.769,27.87044262765569,1.22653316645808,85.2,80.8,82.94634146341471,1.36652876351231,31121471.0,29415238.0,70.14399999999999
Japan,Asia,179653,2585,126860299.0,0.014388849615647943,Medio,377930,127484,349.7,95.4,4383076,1.2,34628.7,1.2,26.4,72.4,3.7,26.5,69.8,3.0,48.9,96,97,644932,606924,38008,135608,-0.1,93.5,0.6,1.4,12.9,2043.9,19.4,2.2,10.2,2.3,101.2,101.9,60.9,9.3,125.0,93.3,404,68.5,1214.0,1114,146,100.0,100.0,147.49,102.52,79.11,78.63,85.28,12.68,46.81,41.01,31.91,2.21,2.75,45.15,36.32,72.76,1.37,85.28,27.56,57.62,89.92,47.83,102.52,100.0,39433.5079901762,66.4554629240626,123898000.0,181994112163.05,191028067326.953,103.962703962704,4.17453025153592,10.9359331429005,17.751852271141104,24.940309296215705,106416048221.0,0.8440000000000001,16.8215858877511,0.467211747038214,87.26,81.09,84.099756097561,0.930768157014813,64853783.0,61932014.0,91.535
Jordan,Asia,259614,3365,10101697.0,0.012961550609751401,Medio,89318,9702,109.3,102.6,37517,2.4,4940.1,4.0,27.7,68.4,2.0,17.8,80.2,13.4,14.5,134,135,7509,19207,-11698,-3332,4.9,83.7,3.8,3.6,35.5,3112.0,721.4,17.1,7.5,2.6,97.6,84.8,47.3,15.4,179.4,53.4,113,1.1,26.5,7,47,97.8,98.6,117.47,42.27,56.86,71.92,59.22,7.96,47.76,85.73,88.42,6.48,7.23,15.43,13.84,76.63,1.3,59.22,12.51,36.83,50.19,56.19,42.27,100.0,2894.8275272608503,63.1227776186631,3381677.0,6389295774.64789,4626619718.30986,119.329869272798,-10.5659032603487,8.119250833988191,35.1204964130456,-1.9293611294192496,83323220.0,0.562,56.353329285359706,3.32389447576096,76.05199999999999,72.628,74.292,4.841143745217691,4829775.0,4949398.0,90.747
